clustername	contigname
nneighs_19270	S3CS18097D-03-11_S0_L001CNODE_15981_length_3107_cov_4.813237
nneighs_19270	S4CS18097D-03-12_S0_L001CNODE_6076_length_5182_cov_6.883168
11345	S4CS18097D-03-12_S0_L001CNODE_19427_length_2578_cov_2.580658
8389	S4CS18097D-03-12_S0_L001CNODE_19870_length_2543_cov_2.690514
8389	S2CS18097D-03-07_S0_L001CNODE_20253_length_2322_cov_2.114248
8389	S4CS18097D-03-12_S0_L001CNODE_7270_length_4725_cov_3.649465
8389	S4CS18097D-03-12_S0_L001CNODE_20120_length_2523_cov_3.286872
nneighs_17847	S3CS18097D-03-11_S0_L001CNODE_2236_length_9085_cov_10.078959
nneighs_17847	S5CS18097D-03-06_S0_L001CNODE_8737_length_3939_cov_5.682029
nneighs_17408	S2CS18097D-03-07_S0_L001CNODE_24214_length_2083_cov_7.384122
nneighs_17408	S5CS18097D-03-06_S0_L001CNODE_21901_length_2230_cov_4.920460
nneighs_11963	S5CS18097D-03-06_S0_L001CNODE_17112_length_2601_cov_7.763551
nneighs_11963	S3CS18097D-03-11_S0_L001CNODE_14074_length_3352_cov_8.042463
nneighs_11963	S1CS18097D-03-02_S0_L001CNODE_26152_length_2303_cov_5.582740
129	S3CS18097D-03-11_S0_L001CNODE_2079_length_9396_cov_6.524569
13719	S4CS18097D-03-12_S0_L001CNODE_21429_length_2429_cov_6.544229
15887	S1CS18097D-03-02_S0_L001CNODE_25886_length_2317_cov_2.353227
11534	S3CS18097D-03-11_S0_L001CNODE_22025_length_2565_cov_2.828287
25373	S3CS18097D-03-11_S0_L001CNODE_33003_length_2013_cov_3.231359
11194	S3CS18097D-03-11_S0_L001CNODE_21677_length_2589_cov_7.882399
11194	S5CS18097D-03-06_S0_L001CNODE_18030_length_2518_cov_6.204222
1356	S1CS18097D-03-02_S0_L001CNODE_9607_length_4246_cov_5.059890
980	S2CS18097D-03-07_S0_L001CNODE_6306_length_4667_cov_6.352775
nneighs_6718	S1CS18097D-03-02_S0_L001CNODE_11866_length_3727_cov_13.514706
nneighs_6718	S3CS18097D-03-11_S0_L001CNODE_24027_length_2432_cov_17.898612
18304	S3CS18097D-03-11_S0_L001CNODE_27991_length_2221_cov_2.817175
18946	S1CS18097D-03-02_S0_L001CNODE_28209_length_2198_cov_12.555296
14656	S3CS18097D-03-11_S0_L001CNODE_24934_length_2378_cov_9.825226
1901	S4CS18097D-03-12_S0_L001CNODE_13568_length_3229_cov_10.955261
1901	S5CS18097D-03-06_S0_L001CNODE_10646_length_3483_cov_4.579638
1901	S4CS18097D-03-12_S0_L001CNODE_10262_length_3842_cov_10.855294
1901	S1CS18097D-03-02_S0_L001CNODE_16457_length_3062_cov_5.549717
8933	S1CS18097D-03-02_S0_L001CNODE_11980_length_3706_cov_4.098603
nneighs_9457	S2CS18097D-03-07_S0_L001CNODE_24930_length_2045_cov_27.017588
nneighs_9457	S1CS18097D-03-02_S0_L001CNODE_18558_length_2846_cov_5.065210
nneighs_18723	S3CS18097D-03-11_S0_L001CNODE_10747_length_3917_cov_6.750647
nneighs_18723	S5CS18097D-03-06_S0_L001CNODE_10125_length_3594_cov_5.402091
8766	S1CS18097D-03-02_S0_L001CNODE_10808_length_3948_cov_3.292320
nneighs_5308	S2CS18097D-03-07_S0_L001CNODE_9230_length_3722_cov_3.045269
nneighs_5308	S4CS18097D-03-12_S0_L001CNODE_16552_length_2853_cov_3.205147
nneighs_5308	S3CS18097D-03-11_S0_L001CNODE_19779_length_2733_cov_4.271845
nneighs_5308	S1CS18097D-03-02_S0_L001CNODE_8981_length_4413_cov_3.158559
358	S1CS18097D-03-02_S0_L001CNODE_4677_length_6268_cov_5.124577
16632	S3CS18097D-03-11_S0_L001CNODE_26640_length_2286_cov_14.118333
4551	S3CS18097D-03-11_S0_L001CNODE_16560_length_3042_cov_4.179109
15673	S1CS18097D-03-02_S0_L001CNODE_25697_length_2327_cov_7.068222
nneighs_2212	S1CS18097D-03-02_S0_L001CNODE_12659_length_3590_cov_8.174823
nneighs_2212	S3CS18097D-03-11_S0_L001CNODE_8671_length_4455_cov_4.345909
nneighs_2212	S1CS18097D-03-02_S0_L001CNODE_3477_length_7238_cov_9.656411
nneighs_2212	S5CS18097D-03-06_S0_L001CNODE_22301_length_2204_cov_5.023732
nneighs_2212	S5CS18097D-03-06_S0_L001CNODE_24039_length_2099_cov_4.994618
nneighs_2212	S2CS18097D-03-07_S0_L001CNODE_6184_length_4719_cov_6.218053
nneighs_2212	S2CS18097D-03-07_S0_L001CNODE_6315_length_4664_cov_6.851595
nneighs_2212	S5CS18097D-03-06_S0_L001CNODE_10075_length_3606_cov_4.217685
nneighs_2212	S4CS18097D-03-12_S0_L001CNODE_1974_length_9434_cov_6.360913
nneighs_2212	S3CS18097D-03-11_S0_L001CNODE_10493_length_3980_cov_4.539108
13973	S1CS18097D-03-02_S0_L001CNODE_24239_length_2413_cov_5.809584
nneighs_20732	S3CS18097D-03-11_S0_L001CNODE_31311_length_2076_cov_20.742207
nneighs_20732	S5CS18097D-03-06_S0_L001CNODE_20119_length_2347_cov_11.268325
14006	S2CS18097D-03-07_S0_L001CNODE_19042_length_2411_cov_3.946944
14390	S5CS18097D-03-06_S0_L001CNODE_19546_length_2391_cov_2.548801
392	S1CS18097D-03-02_S0_L001CNODE_4951_length_6093_cov_13.216297
nneighs_15920	S3CS18097D-03-11_S0_L001CNODE_12067_length_3657_cov_3.854525
nneighs_15920	S2CS18097D-03-07_S0_L001CNODE_15121_length_2765_cov_3.504797
1399	S5CS18097D-03-06_S0_L001CNODE_7845_length_4202_cov_3.474078
nneighs_8046	S5CS18097D-03-06_S0_L001CNODE_8602_length_3979_cov_7.390418
nneighs_8046	S2CS18097D-03-07_S0_L001CNODE_7804_length_4112_cov_23.788760
nneighs_8046	S3CS18097D-03-11_S0_L001CNODE_6058_length_5417_cov_8.143230
nneighs_8046	S1CS18097D-03-02_S0_L001CNODE_14953_length_3242_cov_47.064638
nneighs_8046	S4CS18097D-03-12_S0_L001CNODE_9674_length_3990_cov_20.939009
nneighs_5495	S5CS18097D-03-06_S0_L001CNODE_17859_length_2531_cov_3.974960
nneighs_5495	S5CS18097D-03-06_S0_L001CNODE_22414_length_2197_cov_4.261438
nneighs_5495	S3CS18097D-03-11_S0_L001CNODE_8099_length_4623_cov_4.653240
nneighs_5495	S1CS18097D-03-02_S0_L001CNODE_9324_length_4327_cov_3.939373
19371	S3CS18097D-03-11_S0_L001CNODE_28805_length_2183_cov_3.259868
21061	S1CS18097D-03-02_S0_L001CNODE_29717_length_2129_cov_5.422854
21151	S5CS18097D-03-06_S0_L001CNODE_23538_length_2126_cov_7.330275
nneighs_7203	S5CS18097D-03-06_S0_L001CNODE_18545_length_2476_cov_3.997935
nneighs_7203	S1CS18097D-03-02_S0_L001CNODE_13003_length_3534_cov_4.752515
nneighs_10195	S4CS18097D-03-12_S0_L001CNODE_27357_length_2085_cov_6.310345
nneighs_10195	S2CS18097D-03-07_S0_L001CNODE_17153_length_2570_cov_5.020278
nneighs_10195	S3CS18097D-03-11_S0_L001CNODE_19681_length_2740_cov_5.360521
nneighs_10195	S1CS18097D-03-02_S0_L001CNODE_20660_length_2657_cov_8.596464
1402	S2CS18097D-03-07_S0_L001CNODE_7544_length_4200_cov_3.780700
nneighs_21124	S4CS18097D-03-12_S0_L001CNODE_27745_length_2065_cov_37.573134
nneighs_21124	S5CS18097D-03-06_S0_L001CNODE_18708_length_2461_cov_27.309227
nneighs_15194	S5CS18097D-03-06_S0_L001CNODE_23691_length_2118_cov_3.836646
nneighs_15194	S2CS18097D-03-07_S0_L001CNODE_10693_length_3411_cov_4.072110
nneighs_8128	S5CS18097D-03-06_S0_L001CNODE_22404_length_2198_cov_2.834811
nneighs_8128	S1CS18097D-03-02_S0_L001CNODE_15145_length_3220_cov_3.955450
15821	S5CS18097D-03-06_S0_L001CNODE_20476_length_2321_cov_2.461165
727	S4CS18097D-03-12_S0_L001CNODE_6170_length_5139_cov_9.484658
4230	S1CS18097D-03-02_S0_L001CNODE_16151_length_3099_cov_3.253942
16984	S5CS18097D-03-06_S0_L001CNODE_21221_length_2273_cov_10.460325
nneighs_18185	S3CS18097D-03-11_S0_L001CNODE_5736_length_5609_cov_4.152323
nneighs_18185	S5CS18097D-03-06_S0_L001CNODE_10149_length_3588_cov_3.881404
16807	S3CS18097D-03-11_S0_L001CNODE_26812_length_2279_cov_2.103417
nneighs_19620	S3CS18097D-03-11_S0_L001CNODE_19393_length_2764_cov_4.331488
nneighs_19620	S4CS18097D-03-12_S0_L001CNODE_20468_length_2498_cov_2.231682
10709	S2CS18097D-03-07_S0_L001CNODE_16524_length_2628_cov_3.333852
nneighs_19473	S3CS18097D-03-11_S0_L001CNODE_17892_length_2901_cov_3.293043
nneighs_19473	S5CS18097D-03-06_S0_L001CNODE_17536_length_2561_cov_2.992817
36	S2CS18097D-03-07_S0_L001CNODE_635_length_14369_cov_5.906805
5318	S3CS18097D-03-11_S0_L001CNODE_17673_length_2922_cov_3.437740
15970	S2CS18097D-03-07_S0_L001CNODE_20355_length_2314_cov_3.077468
nneighs_18307	S3CS18097D-03-11_S0_L001CNODE_6910_length_5042_cov_12.087227
nneighs_18307	S5CS18097D-03-06_S0_L001CNODE_4999_length_5471_cov_9.648818
nneighs_6965	S1CS18097D-03-02_S0_L001CNODE_12471_length_3618_cov_13.734493
nneighs_6965	S2CS18097D-03-07_S0_L001CNODE_23042_length_2148_cov_18.697086
4750	S1CS18097D-03-02_S0_L001CNODE_16981_length_3006_cov_4.484920
nneighs_12881	S5CS18097D-03-06_S0_L001CNODE_10557_length_3502_cov_4.756020
